x1,y1,z1,x2,y2,z2
1.25196,-0.179017,1.06728,0.178531,-0.607699,1.54125
1.25821,0.544935,0.726903,-0.543831,-0.287524,1.41603
1.43452,0.299673,0.20848,-0.297013,0.25868,1.38879
1.42827,-0.42428,0.548853,0.425349,-0.0614946,1.51402
1.24952,-0.174585,1.07395,0.178319,-0.607749,1.54236
1.25805,0.545091,0.724678,-0.543761,-0.287545,1.4156
1.43486,0.293059,0.209686,-0.296864,0.25865,1.38889
1.42633,-0.426617,0.558961,0.425216,-0.0615546,1.51565
1.16506,0.286371,1.07916,-0.291593,-0.648836,1.46398
1.15331,0.538923,0.535024,-0.543849,-0.149184,1.24784
1.62378,-0.0440437,0.254288,0.0409647,0.287668,1.57519
1.63553,-0.296596,0.79842,0.293221,-0.211984,1.79133
1.1633,0.286879,1.08615,-0.291653,-0.648804,1.46401
1.14535,0.544691,0.54466,-0.543729,-0.149177,1.2476
1.61465,-0.0341011,0.25353,0.0411055,0.287662,1.57493
1.6326,-0.291913,0.795019,0.293181,-0.211965,1.79133
1.16715,0.283582,1.08683,-0.291655,-0.648812,1.46432
1.14763,0.543082,0.5462,-0.543716,-0.14919,1.24789
1.61517,-0.0353996,0.251647,0.0410224,0.287669,1.57536
1.63469,-0.294899,0.792275,0.293083,-0.211954,1.79179
1.1675,0.284122,1.08332,-0.291666,-0.648603,1.46399
1.15014,0.541032,0.541382,-0.543633,-0.148982,1.24745
1.61835,-0.0391858,0.251328,0.0412811,0.287824,1.57467
1.6357,-0.296096,0.793266,0.293248,-0.211798,1.79122
1.1648,0.288041,1.0825,-0.291647,-0.648563,1.46379
1.14904,0.543032,0.539604,-0.5436,-0.148913,1.24729
1.61737,-0.0386892,0.252784,0.0412592,0.287856,1.57466
1.63313,-0.29368,0.795676,0.293213,-0.211794,1.79116
1.16647,0.286765,1.08239,-0.291711,-0.648557,1.46452
1.15139,0.540926,0.539086,-0.54396,-0.148925,1.24833
1.61944,-0.0416593,0.253554,0.041124,0.287909,1.57521
1.63452,-0.295821,0.796854,0.293373,-0.211724,1.7914
1.16485,0.289285,1.07855,-0.291687,-0.648487,1.46404
1.15047,0.543492,0.535251,-0.543658,-0.148863,1.24751
1.61948,-0.0386663,0.250445,0.0412058,0.287948,1.57482
1.63386,-0.292873,0.793742,0.293177,-0.211676,1.79135
1.16684,0.28473,1.08526,-0.291791,-0.64861,1.46545
1.14828,0.542781,0.543901,-0.544092,-0.149038,1.24918
1.61574,-0.0368928,0.251561,0.0412817,0.28785,1.57547
1.63429,-0.294945,0.792915,0.293583,-0.211722,1.79174
1.16647,0.287343,1.08182,-0.291539,-0.648418,1.46436
1.15012,0.542183,0.538876,-0.543827,-0.148868,1.24802
1.61818,-0.039592,0.251717,0.0413561,0.288083,1.57457
1.63453,-0.294431,0.794662,0.293644,-0.211466,1.79091
1.16699,0.286493,1.08082,-0.291629,-0.648506,1.46489
1.15249,0.53912,0.536788,-0.543899,-0.148869,1.24873
1.62119,-0.0440394,0.253505,0.041341,0.287935,1.57538
1.63568,-0.296667,0.797536,0.293611,-0.211703,1.79153
1.16946,0.279878,1.08635,-0.291469,-0.64848,1.46475
1.15132,0.537295,0.54468,-0.543774,-0.148944,1.2484
1.62009,-0.0419985,0.253685,0.0412214,0.288064,1.57521
1.63823,-0.299416,0.795356,0.293526,-0.211472,1.79156
1.16967,0.282342,1.08625,-0.29155,-0.648545,1.46497
1.15044,0.539072,0.544289,-0.543926,-0.148945,1.24885
1.61778,-0.0411525,0.25285,0.0411768,0.287966,1.5756
1.63701,-0.297883,0.794809,0.293552,-0.211633,1.79171
1.16589,0.280933,1.08107,-0.281983,-0.647511,1.46529
1.15414,0.534246,0.537293,-0.535383,-0.147872,1.25047
1.61874,-0.0522121,0.254064,0.0515631,0.288929,1.57404
1.63048,-0.305525,0.797843,0.304963,-0.21071,1.78886
1.16837,0.274827,1.0803,-0.281756,-0.647619,1.46536
1.15344,0.533445,0.539106,-0.535386,-0.148072,1.25059
1.61918,-0.0483537,0.248241,0.0513342,0.288966,1.57425
1.6341,-0.306972,0.789438,0.304964,-0.210581,1.78902
1.16827,0.279458,1.07992,-0.281934,-0.647599,1.46575
1.15423,0.53366,0.536609,-0.535415,-0.147918,1.25112
1.61859,-0.0516954,0.25073,0.051363,0.28887,1.57502
1.63263,-0.305898,0.794039,0.304844,-0.210811,1.78965
1.16296,0.282488,1.08161,-0.281911,-0.647558,1.46543
1.15228,0.534763,0.537325,-0.535359,-0.147895,1.25072
1.61874,-0.0513682,0.256501,0.0514919,0.288899,1.57447
1.62942,-0.303643,0.800784,0.30494,-0.210765,1.78918
1.17025,0.275681,1.08239,-0.281954,-0.64766,1.4661
1.1525,0.534018,0.541146,-0.53532,-0.147957,1.25139
1.61698,-0.0477544,0.248233,0.0513692,0.288783,1.57551
1.63473,-0.306092,0.789479,0.304736,-0.21092,1.79022
1.1651,0.276679,1.08503,-0.281793,-0.647595,1.46532
1.15079,0.534208,0.543295,-0.535407,-0.148016,1.25061
1.61745,-0.0477813,0.254305,0.0514164,0.288953,1.57418
1.63176,-0.305311,0.796037,0.305031,-0.210626,1.78889
1.16833,0.277039,1.08446,-0.28191,-0.647695,1.46626
1.15717,0.529303,0.54018,-0.535471,-0.148103,1.25152
1.62136,-0.058168,0.258378,0.0513366,0.288834,1.57515
1.63252,-0.310432,0.802655,0.304898,-0.210758,1.7899
1.17077,0.271832,1.08775,-0.281891,-0.647489,1.46495
1.1462,0.536938,0.550059,-0.535192,-0.147824,1.25007
1.61064,-0.0386234,0.245063,0.0515171,0.288953,1.5741
1.63521,-0.303729,0.782758,0.304818,-0.210713,1.78898
1.16448,0.280509,1.08191,-0.281895,-0.647479,1.46496
1.15162,0.535189,0.538795,-0.53512,-0.147918,1.24975
1.61772,-0.0491807,0.25373,0.0515381,0.289005,1.57368
1.63058,-0.303861,0.796844,0.304763,-0.210556,1.78889
1.16431,0.280605,1.08171,-0.28189,-0.647693,1.46615
1.15503,0.53234,0.537156,-0.535335,-0.148133,1.25119
1.62098,-0.0548776,0.257758,0.0513441,0.288846,1.57501
1.63027,-0.306613,0.802316,0.30479,-0.210715,1.78996
1.16656,0.27823,1.07935,-0.281867,-0.647674,1.46596
1.15762,0.530019,0.534812,-0.535416,-0.148103,1.25116
1.62284,-0.0577646,0.255387,0.0513865,0.288865,1.57476
1.63178,-0.309553,0.799926,0.304935,-0.210706,1.78957
1.16575,0.276978,1.08159,-0.281805,-0.647609,1.46543
1.15318,0.532754,0.538988,-0.535181,-0.147999,1.25051
1.61953,-0.0509748,0.253022,0.0513517,0.288912,1.57468
1.6321,-0.306751,0.795627,0.304727,-0.210698,1.7896
1.16929,0.273765,1.08154,-0.281955,-0.647504,1.46521
1.14666,0.538708,0.543682,-0.535329,-0.14776,1.2506
1.61181,-0.0371999,0.240424,0.0515587,0.288887,1.57449
1.63444,-0.302142,0.778284,0.304932,-0.210857,1.7891
1.16536,0.279988,1.08066,-0.281899,-0.647621,1.46563
1.15669,0.530344,0.53546,-0.535487,-0.147968,1.25106
1.62185,-0.0583013,0.257754,0.051402,0.288871,1.57469
1.63053,-0.308657,0.802957,0.30499,-0.210783,1.78926
1.1688,0.275668,1.08252,-0.281965,-0.647616,1.46582
1.15414,0.532547,0.540484,-0.535222,-0.14797,1.25084
1.61794,-0.0515476,0.251129,0.0514173,0.288836,1.57496
1.6326,-0.308426,0.793161,0.304674,-0.21081,1.78994
1.16743,0.27995,1.08038,-0.281904,-0.647671,1.46603
1.15498,0.531509,0.535806,-0.535459,-0.148061,1.25132
1.61911,-0.0559252,0.253838,0.0513339,0.288851,1.57503
1.63156,-0.307484,0.798414,0.304889,-0.210759,1.78973
1.16482,0.282086,1.08015,-0.281995,-0.647656,1.46611
1.15175,0.536494,0.536912,-0.535403,-0.148042,1.25123
1.6168,-0.0486352,0.251695,0.0514079,0.288823,1.57497
1.62987,-0.303043,0.794932,0.304816,-0.210791,1.78984
1.16943,0.276409,1.07692,-0.281968,-0.647589,1.46577
1.15342,0.534661,0.535582,-0.535396,-0.147916,1.25106
1.61858,-0.047325,0.24418,0.0514243,0.288863,1.57489
1.6346,-0.305577,0.785521,0.304852,-0.210809,1.7896
1.16571,0.274876,1.08408,-0.281951,-0.647592,1.46579
1.15054,0.534724,0.543484,-0.535563,-0.147858,1.25144
1.61698,-0.0458659,0.251333,0.0513772,0.288856,1.57514
1.63214,-0.305713,0.791934,0.304989,-0.210879,1.7895
1.16821,0.276579,1.08463,-0.281877,-0.647545,1.46533
1.15213,0.53232,0.542097,-0.535443,-0.147905,1.2507
1.61756,-0.0508117,0.253421,0.0514337,0.288951,1.57433
1.63364,-0.306553,0.79595,0.304999,-0.210688,1.78896
1.1683,0.276613,1.08267,-0.281952,-0.647594,1.46587
1.15421,0.53185,0.539852,-0.535439,-0.14795,1.25116
1.61902,-0.0526504,0.25295,0.0514158,0.288882,1.57485
1.63311,-0.307887,0.795772,0.304903,-0.210762,1.78956
1.16779,0.274747,1.07992,-0.281833,-0.647674,1.46599
1.15372,0.532612,0.538342,-0.535332,-0.148101,1.25113
1.61978,-0.0496795,0.248988,0.051361,0.28887,1.57493
1.63385,-0.307545,0.790566,0.30486,-0.210702,1.78979
1.16709,0.275998,1.07787,-0.281898,-0.647639,1.46594
1.1551,0.531361,0.535053,-0.535218,-0.148032,1.25095
1.62151,-0.0527504,0.249956,0.0514194,0.28885,1.57497
1.6335,-0.308114,0.792768,0.304739,-0.210757,1.78996
1.16772,0.278121,1.08118,-0.281913,-0.647693,1.46635
1.15334,0.532001,0.537733,-0.535631,-0.14803,1.25196
1.61887,-0.0526406,0.252296,0.0513445,0.288812,1.57542
1.63325,-0.306521,0.795747,0.305063,-0.210851,1.78982
1.16525,0.280496,1.08131,-0.281897,-0.647628,1.46576
1.1524,0.537261,0.539178,-0.535414,-0.148049,1.25094
1.61714,-0.0469038,0.251488,0.0514877,0.288881,1.57441
1.62999,-0.303668,0.79362,0.305005,-0.210698,1.78924
1.16695,0.276872,1.08321,-0.281982,-0.647548,1.46543
1.15403,0.53203,0.540322,-0.535513,-0.147868,1.25086
1.61902,-0.0527919,0.254387,0.0515746,0.288881,1.57424
1.63195,-0.30795,0.797275,0.305105,-0.2108,1.78882
1.16763,0.277638,1.08131,-0.281965,-0.647686,1.46611
1.15341,0.534313,0.539174,-0.535266,-0.148114,1.25102
1.6179,-0.0495948,0.250547,0.0514348,0.288805,1.57488
1.63211,-0.30627,0.792687,0.304736,-0.210768,1.78997
1.16977,0.273232,1.08556,-0.281896,-0.6477,1.4663
1.15144,0.533678,0.54535,-0.535384,-0.148173,1.25132
1.6155,-0.0470132,0.24964,0.0513666,0.288854,1.57494
1.63383,-0.307459,0.789854,0.304855,-0.210673,1.78992
1.1683,0.27635,1.0817,-0.28197,-0.647702,1.46638
1.15472,0.532039,0.539079,-0.53542,-0.148024,1.25171
1.61968,-0.0522986,0.252095,0.051323,0.288768,1.57566
1.63326,-0.307987,0.794717,0.304773,-0.210909,1.79033
1.16911,0.276027,1.07848,-0.281854,-0.647596,1.46549
1.15461,0.532406,0.536211,-0.535341,-0.147993,1.25069
1.6197,-0.0511678,0.247877,0.0513771,0.288925,1.57451
1.63419,-0.307547,0.79015,0.304864,-0.210678,1.78932
1.16792,0.275257,1.08314,-0.281817,-0.647609,1.46542
1.15211,0.532855,0.541478,-0.535314,-0.14792,1.25083
1.61782,-0.0491942,0.251081,0.0513677,0.288877,1.57489
1.63363,-0.306793,0.792739,0.304865,-0.210812,1.78948
1.17022,0.272219,1.08398,-0.281909,-0.647718,1.46635
1.15274,0.531302,0.543079,-0.535417,-0.148221,1.25133
1.61816,-0.0495508,0.24982,0.0513981,0.288845,1.57478
1.63563,-0.308634,0.790718,0.304906,-0.210652,1.78981
1.17066,0.274035,1.0786,-0.281964,-0.647553,1.46555
1.1541,0.532695,0.537468,-0.535276,-0.147877,1.25071
1.61915,-0.0489498,0.24521,0.0515166,0.288872,1.57463
1.63571,-0.30761,0.786339,0.304829,-0.210805,1.78947
1.17199,0.27228,1.08136,-0.281961,-0.647664,1.46611
1.15389,0.531527,0.540563,-0.535459,-0.148068,1.25131
1.61816,-0.0497613,0.246364,0.0514771,0.288825,1.57477
1.63627,-0.309008,0.787163,0.304975,-0.210771,1.78958
1.16774,0.277781,1.08058,-0.281961,-0.647731,1.46651
1.15233,0.534353,0.538428,-0.535563,-0.148151,1.25178
1.61734,-0.0488478,0.249215,0.0513957,0.288789,1.57515
1.63275,-0.30542,0.791372,0.304998,-0.210791,1.78987
1.16779,0.27592,1.08057,-0.281901,-0.647676,1.466
1.15277,0.533977,0.53911,-0.535438,-0.148072,1.25125
1.61829,-0.0482247,0.248721,0.0513948,0.288837,1.57488
1.63332,-0.306281,0.790183,0.304931,-0.210767,1.78963
1.16621,0.279675,1.07951,-0.281998,-0.647576,1.46561
1.15507,0.532258,0.535375,-0.535388,-0.147912,1.25084
1.62037,-0.0543219,0.253558,0.0515001,0.288859,1.57455
1.63151,-0.306905,0.797688,0.30489,-0.210805,1.78933
1.16593,0.279045,1.07909,-0.281856,-0.647661,1.46585
1.15403,0.532311,0.535291,-0.535387,-0.148067,1.25107
1.62011,-0.0531402,0.252423,0.0513862,0.288866,1.57478
1.63201,-0.306407,0.79622,0.304918,-0.210728,1.78955
1.16694,0.27694,1.08343,-0.281964,-0.647602,1.4654
1.15247,0.533694,0.541335,-0.535225,-0.147922,1.25051
1.61753,-0.0497032,0.252602,0.0515089,0.288817,1.57455
1.632,-0.306457,0.794698,0.30477,-0.210863,1.78944
1.17056,0.271653,1.08416,-0.281928,-0.64755,1.46529
1.15313,0.531141,0.543455,-0.535431,-0.147916,1.25057
1.61812,-0.0497896,0.249675,0.0514906,0.288924,1.57414
1.63555,-0.309277,0.79038,0.304993,-0.21071,1.78885
1.16886,0.274218,1.08071,-0.281923,-0.647618,1.46575
1.15418,0.532026,0.539121,-0.535476,-0.148028,1.251
1.61947,-0.0505827,0.249174,0.0514294,0.288893,1.57448
1.63415,-0.308391,0.790764,0.304982,-0.210697,1.78924
1.16674,0.277054,1.08422,-0.281874,-0.647618,1.46553
1.15287,0.533169,0.541802,-0.535416,-0.147891,1.25107
1.61779,-0.0508741,0.254147,0.0514364,0.288831,1.57492
1.63165,-0.306989,0.796561,0.304978,-0.210895,1.78937
1.16659,0.277373,1.08264,-0.28194,-0.647537,1.46527
1.15292,0.532012,0.539527,-0.535291,-0.147847,1.2505
1.61845,-0.0524796,0.253771,0.0515608,0.288881,1.57434
1.63212,-0.307119,0.796885,0.304913,-0.210809,1.78911
1.16847,0.274064,1.08281,-0.281866,-0.64753,1.46513
1.15249,0.532691,0.541649,-0.535311,-0.147866,1.25042
1.61791,-0.0489406,0.24994,0.0515119,0.288931,1.57422
1.63389,-0.307567,0.791102,0.304957,-0.210732,1.78894
1.16723,0.277837,1.07859,-0.281869,-0.647575,1.46546
1.15461,0.532164,0.535308,-0.535201,-0.147881,1.25068
1.62022,-0.0527981,0.25065,0.0514156,0.288877,1.57491
1.63284,-0.307126,0.793935,0.304748,-0.210816,1.78968
1.16603,0.27839,1.08258,-0.281859,-0.647661,1.46579
1.15288,0.53285,0.53937,-0.535257,-0.148003,1.25101
1.61845,-0.0518874,0.254187,0.0513587,0.288826,1.57515
1.63159,-0.306347,0.797397,0.304756,-0.210832,1.78993
1.16691,0.277468,1.08073,-0.281749,-0.647644,1.46561
1.15115,0.535142,0.539111,-0.535226,-0.148174,1.25049
1.61691,-0.0468486,0.248675,0.0512819,0.288978,1.57438
1.63268,-0.304522,0.790298,0.30476,-0.210492,1.78951
1.16687,0.277723,1.08176,-0.281897,-0.647685,1.46616
1.15234,0.533306,0.539108,-0.535419,-0.148129,1.25129
1.61843,-0.0500153,0.251883,0.0513798,0.288854,1.57488
1.63296,-0.305598,0.794531,0.304902,-0.210703,1.78975
1.16734,0.275904,1.0837,-0.282005,-0.647649,1.4662
1.15103,0.533184,0.541905,-0.535514,-0.147998,1.25153
1.61684,-0.0487938,0.251521,0.0514563,0.28881,1.57505
1.63315,-0.306074,0.793315,0.304965,-0.210841,1.78972
1.16984,0.272593,1.08204,-0.282024,-0.647615,1.46601
1.15173,0.534178,0.542365,-0.535484,-0.148003,1.2512
1.61662,-0.045422,0.245822,0.051546,0.28884,1.57456
1.63473,-0.307007,0.785493,0.305006,-0.210773,1.78937
1.16821,0.276365,1.08115,-0.281908,-0.647663,1.46599
1.15319,0.53259,0.538822,-0.535333,-0.148145,1.25091
1.61844,-0.0507718,0.250327,0.0514216,0.288879,1.57453
1.63346,-0.306996,0.792659,0.304846,-0.210639,1.78961
1.16883,0.273393,1.08342,-0.281974,-0.6477,1.46632
1.15288,0.532061,0.542275,-0.535508,-0.14818,1.25137
1.61801,-0.0497425,0.250458,0.0514832,0.288828,1.57459
1.63397,-0.308411,0.791602,0.305017,-0.210692,1.78953
1.16759,0.276298,1.07998,-0.281811,-0.64751,1.46494
1.15301,0.533969,0.53832,-0.535179,-0.147883,1.25005
1.61908,-0.0482442,0.248816,0.051498,0.288974,1.57403
1.63365,-0.305915,0.790474,0.304866,-0.210653,1.78892
1.17095,0.271317,1.08277,-0.281956,-0.647657,1.46588
1.15348,0.530904,0.542116,-0.535408,-0.147926,1.25133
1.61845,-0.0499741,0.248193,0.0514879,0.288759,1.57515
1.63592,-0.309561,0.788849,0.30494,-0.210972,1.7897
1.16792,0.275867,1.08473,-0.281869,-0.647652,1.46575
1.15,0.535773,0.544246,-0.535321,-0.148091,1.25081
1.61432,-0.0451912,0.249478,0.0514095,0.288879,1.57455
1.63224,-0.305097,0.789966,0.304862,-0.210682,1.78949
1.17281,0.266379,1.08345,-0.282052,-0.647675,1.46629
1.15368,0.529599,0.544614,-0.535332,-0.148082,1.25122
1.61909,-0.0483846,0.245744,0.0515621,0.288766,1.57482
1.63823,-0.311605,0.784584,0.304843,-0.210827,1.78989
1.16649,0.280835,1.07819,-0.282173,-0.647637,1.46646
1.153,0.535332,0.535008,-0.535654,-0.147871,1.25202
1.61828,-0.0494519,0.249458,0.0516145,0.288705,1.57531
1.63178,-0.303948,0.792643,0.305095,-0.21106,1.78975
1.16825,0.276267,1.08406,-0.281916,-0.647644,1.4657
1.15001,0.534174,0.54263,-0.535528,-0.148,1.25114
1.61527,-0.0471486,0.250054,0.0514241,0.288848,1.57464
1.6335,-0.305055,0.791489,0.305036,-0.210796,1.7892
1.16739,0.277782,1.0838,-0.282084,-0.647777,1.46678
1.15151,0.533877,0.541432,-0.535545,-0.148046,1.25224
1.61804,-0.0484088,0.252824,0.0514086,0.288632,1.57596
1.63392,-0.304504,0.795192,0.304869,-0.211099,1.7905
1.1683,0.276804,1.08194,-0.281973,-0.647693,1.46611
1.15503,0.530095,0.53819,-0.53538,-0.148003,1.25141
1.62119,-0.0548235,0.25435,0.0514314,0.288747,1.5753
1.63446,-0.308115,0.798104,0.304838,-0.210943,1.79
1.16816,0.276601,1.08386,-0.282007,-0.647656,1.46601
1.15131,0.533334,0.541821,-0.535321,-0.147939,1.25127
1.61723,-0.0486738,0.251672,0.0515262,0.28874,1.57518
1.63408,-0.305407,0.793709,0.30484,-0.210978,1.78993
1.16891,0.276669,1.08047,-0.281984,-0.647683,1.46608
1.15496,0.531278,0.53735,-0.535355,-0.147969,1.25139
1.62124,-0.0526315,0.251639,0.0514248,0.28874,1.57539
1.6352,-0.30724,0.79476,0.304795,-0.210974,1.79008
1.16888,0.275161,1.08277,-0.281961,-0.647668,1.46617
1.14924,0.536697,0.543133,-0.535543,-0.148088,1.25142
1.61448,-0.0421481,0.245663,0.0514427,0.288842,1.57475
1.63412,-0.303685,0.785304,0.305025,-0.210738,1.78949
1.16919,0.274478,1.0825,-0.28191,-0.647673,1.46609
1.15299,0.53307,0.541326,-0.535439,-0.148041,1.2514
1.61778,-0.0489098,0.24932,0.0513831,0.288826,1.57511
1.63398,-0.307502,0.790493,0.304913,-0.210806,1.7898
1.16879,0.276815,1.07606,-0.281984,-0.647636,1.46595
1.15609,0.532156,0.533251,-0.535521,-0.147944,1.25141
1.62096,-0.0527349,0.247235,0.0514861,0.288803,1.57494
1.63366,-0.308077,0.790042,0.305023,-0.210889,1.78948
